time_open,time_close,open,high,low,close,market_cap,volume
2010-07-17T00:00:00Z,2010-07-17T23:59:59Z,0.04951,0.04951,0.04951,0.04951,,
2010-07-18T00:00:00Z,2010-07-18T23:59:59Z,0.04951,0.04951,0.04951,0.04951,,
2010-07-19T00:00:00Z,2010-07-19T23:59:59Z,0.08584,0.08584,0.08584,0.08584,,
2010-07-20T00:00:00Z,2010-07-20T23:59:59Z,0.0808,0.0808,0.0808,0.0808,,
2010-07-21T00:00:00Z,2010-07-21T23:59:59Z,0.07474,0.07474,0.07474,0.07474,,
2010-07-22T00:00:00Z,2010-07-22T23:59:59Z,0.07921,0.07921,0.07921,0.07921,,
2010-07-23T00:00:00Z,2010-07-23T23:59:59Z,0.0505,0.0505,0.0505,0.0505,,
2010-07-24T00:00:00Z,2010-07-24T23:59:59Z,0.06262,0.06262,0.06262,0.06262,,
2010-07-25T00:00:00Z,2010-07-25T23:59:59Z,0.05454,0.05454,0.05454,0.05454,,
2010-07-26T00:00:00Z,2010-07-26T23:59:59Z,0.0505,0.0505,0.0505,0.0505,,
2010-07-27T00:00:00Z,2010-07-27T23:59:59Z,0.056,0.056,0.056,0.056,,
2010-07-28T00:00:00Z,2010-07-28T23:59:59Z,0.06,0.06,0.06,0.06,,
2010-07-29T00:00:00Z,2010-07-29T23:59:59Z,0.0589,0.0589,0.0589,0.0589,,
2010-07-30T00:00:00Z,2010-07-30T23:59:59Z,0.0699,0.0699,0.0699,0.0699,,
2010-07-31T00:00:00Z,2010-07-31T23:59:59Z,0.0627,0.0627,0.0627,0.0627,,
2010-08-01T00:00:00Z,2010-08-01T23:59:59Z,0.06785,0.06785,0.06785,0.06785,,
2010-08-02T00:00:00Z,2010-08-02T23:59:59Z,0.0611,0.0611,0.0611,0.0611,,
2010-08-03T00:00:00Z,2010-08-03T23:59:59Z,0.06,0.06,0.06,0.06,,
2010-08-04T00:00:00Z,2010-08-04T23:59:59Z,0.06,0.06,0.06,0.06,,
2010-08-05T00:00:00Z,2010-08-05T23:59:59Z,0.057,0.057,0.057,0.057,,
2010-08-06T00:00:00Z,2010-08-06T23:59:59Z,0.061,0.061,0.061,0.061,,
2010-08-07T00:00:00Z,2010-08-07T23:59:59Z,0.0623,0.0623,0.0623,0.0623,,
2010-08-08T00:00:00Z,2010-08-08T23:59:59Z,0.059,0.059,0.059,0.059,,
